Time,Distance,Theta,LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori
45.288,2.950781,-0.01124,0,0,-175.434091,0.313395,-0.01124
45.621,10.438796,-0.01124,23.135526,20.421602,-168.182287,0.231884,-0.030886
45.954,3.190724,-0.030886,0,0,-168.182287,0.231884,-0.030886
46.287,10.684804,-0.030886,20.966888,21.514767,-161.112465,0.013455,-0.02692
46.62,3.61249,-0.02692,0,0,-161.112465,0.013455,-0.02692
46.953,11.112473,-0.02692,20.518779,22.010486,-154.033908,-0.177145,-0.016121
47.286,4.037796,-0.016121,18.746018,24.830886,-146.779297,-0.294109,0.027928
47.619,3.234104,0.027928,0,0,-146.779297,-0.294109,0.027928
47.952,4.289392,0.027928,19.334867,22.94445,-139.742535,-0.097536,0.054058
48.285,2.759189,0.054058,0,0,-139.742535,-0.097536,0.054058
48.618,4.743538,0.054058,23.392762,19.995232,-132.528987,0.292796,0.029463
48.951,2.488299,0.029463,0,0,-132.528987,0.292796,0.029463
49.284,5.037504,0.029463,5,-5,-132.528987,0.292796,-0.042928
49.617,5.037504,-0.042928,22.141615,20.264782,-125.474827,-0.010214,-0.056515
49.95,2.025199,-0.056515,0,0,-125.474827,-0.010214,-0.056515
50.283,5.474837,-0.056515,-5,5,-125.474827,-0.010214,0.015876
50.616,5.474837,0.015876,22.398592,20.116451,-118.396965,0.102166,-0.000644
50.949,1.606288,-0.000644,0,0,-118.396965,0.102166,-0.000644
51.282,5.89785,-0.000644,21.916558,20.260766,-111.374441,0.097641,-0.012631
51.615,1.129786,-0.012631,0,0,-111.374441,0.097641,-0.012631
51.948,6.375189,-0.012631,21.953453,21.174157,-104.194267,0.006944,-0.018272
52.281,0.805763,-0.018272,0,0,-104.194267,0.006944,-0.018272
52.614,6.694271,-0.018272,20.942662,23.099466,-96.862477,-0.12704,-0.002659
52.947,0.650057,-0.002659,0,0,-96.862477,-0.12704,-0.002659
53.28,6.863653,-0.002659,20.774195,22.834814,-89.601603,-0.146346,0.012258
53.613,0.424426,0.012258,0,0,-89.601603,-0.146346,0.012258
53.946,7.10311,0.012258,20.325804,22.113858,-82.53593,-0.059729,0.025202
54.279,0.069703,0.025202,0,0,-82.53593,-0.059729,0.025202
54.612,7.536167,0.025202,22.613454,20.189744,-75.411461,0.11986,0.007657
54.945,0.428563,0.007657,0,0,-75.411461,0.11986,0.007657
55.278,7.912368,0.007657,21.801014,21.215692,-68.249389,0.174698,0.003419
55.611,0.769482,0.003419,0,0,-68.249389,0.174698,0.003419
55.944,8.251239,0.003419,22.021076,19.966973,-61.25842,0.198603,-0.011451
56.277,1.273995,-0.011451,0,0,-61.25842,0.198603,-0.011451
56.61,8.760671,-0.011451,21.105262,20.28084,-54.368085,0.119701,-0.017419
56.943,1.871917,-0.017419,0,0,-54.368085,0.119701,-0.017419
57.276,9.36885,-0.017419,22.173639,22.526041,-46.926718,-0.00993,-0.014868
57.609,1.926743,-0.014868,0,0,-46.926718,-0.00993,-0.014868
57.942,9.426723,-0.014868,20.869104,21.680486,-39.842994,-0.115256,-0.008994
58.275,2.345827,-0.008994,0,0,-39.842994,-0.115256,-0.008994
58.608,9.843669,-0.008994,20.712016,21.821887,-32.761386,-0.178949,-0.000959
58.941,2.767178,-0.000959,0,0,-32.761386,-0.178949,-0.000959
59.274,10.262946,-0.000959,20.147806,21.96073,-25.750318,-0.185675,0.012165
59.607,3.255617,0.012165,0,0,-25.750318,-0.185675,0.012165
59.94,10.751921,0.012165,20.675623,22.373738,-18.583129,-0.098485,0.024457
60.273,3.584483,0.024457,0,0,-18.583129,-0.098485,0.024457
60.606,11.083567,0.024457,21.798224,20.591876,-11.527289,0.074117,0.015725
60.939,4.027971,0.015725,23.795695,20.100799,-4.219426,0.18904,-0.011023
61.272,3.286016,-0.011023,0,0,-4.219426,0.18904,-0.011023
