Time,Distance,dTheta,QRToIMR_Theta, QRToIMR_X,QRToIMR_Y,InRange, LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori,QRPose_x,QRPose_y,QRPose_Ori
26.307,138.931956,-0.007675,-0.008473,-1.066274,138.931956,1,10.212108,9.956452,-87.654136,161.485586,-0.000128,51.277819,160.401528,-0.008601
26.64,134.874354,-0.006519,-0.007087,-0.879292,134.874354,1,12.281206,12.089699,-83.59638,161.485067,-0.001514,51.277819,160.401528,-0.008601
26.973,138.717113,-0.011717,-0.029895,-1.625448,138.717113,1,9.872655,10.564567,-80.193587,161.479914,0.003495,58.522679,160.339212,-0.0264
27.306,134.825499,-0.01157,-0.02941,-1.560063,134.825499,1,11.719386,11.652394,-76.302209,161.493512,0.00301,58.522679,160.339212,-0.0264
27.639,138.660613,-0.014167,-0.031672,-1.964527,138.660613,1,10.402057,10.5902,-72.807014,161.504031,0.004372,65.852274,160.145663,-0.0273
27.972,141.846219,-0.013867,-0.030166,-1.967075,141.846219,1,11.933842,11.716547,-68.869262,161.521245,0.002799,72.976402,159.951128,-0.027367
28.305,137.684909,-0.009682,-0.025561,-1.333153,137.684909,1,12.813488,12.177479,-64.708282,161.53289,-0.001806,72.976402,159.951128,-0.027367
28.638,140.993222,-0.009131,-0.006876,-1.287484,140.993222,1,11.092452,10.873234,-61.051002,161.526286,-0.003393,79.941409,159.760472,-0.010269
28.971,136.755705,-0.011687,-0.009149,-1.598315,136.755705,1,12.566183,12.880155,-56.814211,161.511912,-0.00112,79.941409,159.760472,-0.010269
29.304,133.188345,-0.007543,0.0677,-1.004606,133.188345,1,11.026651,10.410876,-53.244865,161.507916,-0.005577,79.941409,159.760472,0.062123
29.637,137.001146,-0.002814,0.060042,-0.385537,137.001146,1,9.955185,9.816475,-49.952934,161.489555,-0.006582,87.045245,160.20235,0.05346
29.97,133.245426,-0.003612,0.059323,-0.481297,133.245426,1,11.227013,11.326287,-46.197891,161.464841,-0.005863,87.045245,160.20235,0.05346
30.303,129.962448,-0.00243,-0.011794,-0.315765,129.962448,1,9.949995,9.774053,-42.913893,161.445587,-0.007137,87.045245,160.20235,-0.018931
30.636,134.391568,-0.002974,-0.022524,-0.399745,134.391568,1,8.806092,8.803159,-39.982028,161.424664,-0.007158,94.406097,160.062985,-0.029682
30.969,130.903994,-0.001465,-0.020935,-0.191742,130.903994,1,10.587908,10.368415,-36.492889,161.399689,-0.008747,94.406097,160.062985,-0.029682
31.302,134.956337,-0.000551,-0.014636,-0.074301,134.956337,1,9.05138,8.780739,-33.523955,161.37372,-0.010706,101.423852,159.854622,-0.025342
31.635,131.41443,0.00425,-0.009821,0.558539,131.41443,1,10.965463,10.300248,-29.983417,161.335814,-0.015521,101.423852,159.854622,-0.025342
31.968,135.842683,0.003258,0.010643,0.4426,135.842683,1,8.853932,8.89809,-27.028061,161.289938,-0.015202,108.805654,159.667512,-0.004559
32.301,132.0707,0.004201,0.011493,0.554851,132.0707,1,11.384708,11.2673,-23.256938,161.232606,-0.016052,108.805654,159.667512,-0.004559
32.634,128.836264,0.005746,0.085323,0.740322,128.836264,1,9.809651,9.61079,-20.023851,161.180705,-0.017491,108.805654,159.667512,0.067832
32.967,133.404545,0.011163,0.080911,1.489232,133.404545,1,8.448727,8.325307,-17.231402,161.131856,-0.018385,116.177976,160.168362,0.062526
33.3,130.083601,0.015157,0.084621,1.971833,130.083601,1,10.209761,9.697291,-13.917438,161.070923,-0.022095,116.177976,160.168362,0.062526
33.633,127.098773,0.011225,0.007941,1.426798,127.098773,1,8.689133,9.281525,-10.926053,161.004819,-0.017806,116.177976,160.168362,-0.009865
33.966,131.433962,0.009592,-0.001089,1.260731,131.433962,1,8.127631,8.361247,-8.18109,160.955936,-0.016115,123.256122,160.098532,-0.017204
34.299,128.222433,0.006981,-0.00394,0.895138,128.222433,1,9.456529,9.850398,-4.966905,160.904135,-0.013264,123.256122,160.098532,-0.017204
34.632,132.763072,0.004151,-0.005384,0.551123,132.763072,1,7.887018,8.215364,-2.286094,160.868575,-0.010887,130.47511,159.974325,-0.016271
34.965,129.458649,0.000645,-0.008996,0.083534,129.458649,1,9.678985,10.177929,1.019887,160.832582,-0.007275,130.47511,159.974325,-0.016271
35.298,133.577848,-0.001552,0.002263,-0.207265,133.577848,1,8.733779,8.968738,3.967278,160.81114,-0.005574,137.543051,159.859315,-0.003311
35.631,130.239841,-0.003366,0.000489,-0.438374,130.239841,1,9.898232,10.143354,7.30415,160.79254,-0.0038,137.543051,159.859315,-0.003311
35.964,134.351036,-0.004009,0.001802,-0.538657,134.351036,1,8.823265,8.929924,10.260034,160.781309,-0.003027,144.610455,159.835915,-0.001225
36.297,130.830943,-0.00307,0.00285,-0.40159,130.830943,1,10.644673,10.499952,13.780598,160.770651,-0.004075,144.610455,159.835915,-0.001225
36.63,134.894543,-0.008635,0.007817,-1.164835,134.894543,1,8.723976,9.526304,16.819245,160.758268,0.001733,151.713585,159.827216,0.00955
