Time, R_x, R_y, R_Ori, KF_x, KF_y, KF_Ori, KF_q, KF_alpha
41.958000, 0.400732, 137.432935, 0.005875, 0.511668, 136.384616, -0.074844, -0.079591, -0.773569
42.291000, 0.358293, 133.585669, 0.005558, 0.486532, 134.597074, -0.051777, 0.463244, -0.925924
42.624000, -0.299807, 137.405122, 0.007404, -0.126274, 136.415919, -0.094070, -0.596810, -0.195022
42.957000, -0.033693, 133.523688, 0.009397, -0.012135, 134.572598, -0.037164, -0.169270, -0.435724
43.290000, -0.229875, 137.556747, -0.000630, -0.261201, 136.454621, -0.042051, -0.799417, -0.455137
43.623000, 0.142115, 133.694572, 0.002152, 0.015656, 134.723969, -0.051308, -0.036092, 0.176636
43.956000, 0.520402, 137.603061, 0.008599, 0.313175, 136.509239, -0.019604, -0.482878, 0.233804
44.289000, 1.216364, 133.777605, 0.013801, 0.915992, 134.815950, 0.062846, -0.203963, 0.088025
44.622000, 0.957894, 137.390860, 0.013216, 0.935964, 136.410407, 0.005878, 0.038444, -0.160139
44.955000, 1.433824, 140.646518, 0.008866, 1.328751, 139.035524, -0.025627, 0.167959, 0.199174
45.288000, 1.055296, 136.579479, 0.006094, 1.143641, 137.516514, 0.032355, 0.241393, 0.626753
45.621000, 1.452519, 140.376502, 0.012070, 1.415743, 139.292729, 0.110405, 0.474513, 0.834038
45.954000, 1.364112, 136.252822, 0.011421, 1.340830, 137.391126, 0.090260, -0.421409, 0.141467
46.287000, 1.708423, 139.937240, 0.022444, 1.647687, 139.016301, 0.068559, 0.281716, 0.286093
46.620000, 1.910391, 136.036467, 0.023929, 1.789696, 137.163733, 0.092807, -0.007251, 0.774720
46.953000, 1.675094, 139.774393, 0.012852, 1.776185, 138.791744, 0.131127, 0.128917, 0.751459
47.286000, 1.899467, 135.735589, 0.014505, 1.759718, 136.858573, 0.136995, -0.034552, 0.706695
47.619000, 1.445819, 139.403002, -0.003413, 1.644818, 138.472874, 0.159623, 0.027759, 0.884357
47.952000, 1.677353, 135.416755, -0.001704, 1.537446, 136.513000, 0.173872, -1.088695, 0.880662
48.285000, 2.403985, 139.322164, 0.014915, 2.151800, 138.360275, 0.116118, -0.126794, 0.208535
48.618000, 2.401747, 135.208664, 0.014898, 2.181158, 136.318497, 0.189280, -0.461591, 0.857989
48.951000, 1.791192, 138.914207, 0.018279, 1.949127, 137.930965, 0.152418, 0.089064, 0.707494
49.284000, 1.122140, 134.973122, 0.013321, 1.257639, 135.990888, 0.144711, -0.958474, 0.476056
49.617000, 1.586446, 138.770216, 0.016625, 1.509252, 137.774416, 0.112606, 0.561405, 0.112116
49.950000, 1.420718, 134.989405, 0.015396, 1.405814, 136.012851, 0.073867, -0.499936, -0.235407
