Time,Distance,dTheta,QRToIMR_Theta, QRToIMR_X,QRToIMR_Y,InRange, LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori,QRPose_x,QRPose_y,QRPose_Ori
30.636,141.46017,0.006786,0.000863,0.959945,141.46017,1,11.164621,11.640105,-468.109321,-1.144332,0.000673,-326.649183,-0.089116,0.001536
30.969,137.219329,0.003505,0.002628,0.480956,137.219329,1,12.497641,12.979839,-463.867322,-1.141476,0.004164,-326.649183,-0.089116,0.001536
31.302,140.942035,0.001592,0.005432,0.224363,140.942035,1,10.633361,10.86604,-460.287703,-1.126569,0.005849,-319.348078,-0.077902,0.011281
31.635,136.663668,0.001429,0.00522,0.195342,136.663668,1,12.833801,12.863135,-456.009236,-1.101546,0.006061,-319.348078,-0.077902,0.011281
31.968,140.162643,0.000572,0.004686,0.080199,140.162643,1,11.150067,11.300773,-452.27124,-1.07889,0.007152,-312.112181,0.003728,0.011838
32.301,136.163853,0.000048,0.004145,0.00652,136.163853,1,11.972648,12.047393,-448.272005,-1.050288,0.007693,-312.112181,0.003728,0.011838
32.634,139.803869,0.003493,0.012813,0.488294,139.803869,1,10.851249,10.404646,-444.733004,-1.023062,0.00446,-304.930525,0.088751,-0.008353
32.967,135.828941,-0.001213,0.017621,-0.164816,135.828941,1,11.618079,12.282289,-440.753632,-1.005314,0.009268,-304.930525,0.088751,-0.008353
33.3,139.649709,-0.001828,0.032073,-0.255213,139.649709,1,10.41008,10.372578,-437.293468,-0.973243,0.008997,-297.649411,0.027926,-0.023076
33.633,135.665389,-0.008118,0.038309,-1.101309,135.665389,1,11.514569,12.376081,-433.315836,-0.937456,0.015233,-297.649411,0.027926,-0.023076
33.966,139.335003,-0.012517,0.033963,-1.744096,139.335003,1,10.470844,10.833714,-429.769038,-0.883422,0.01786,-290.42511,-0.138814,-0.016103
34.299,135.267869,-0.014806,0.035877,-2.002903,135.267869,1,12.070702,12.334997,-425.706138,-0.81085,0.019774,-290.42511,-0.138814,-0.016103
34.632,139.133864,-0.016072,0.016731,-2.236285,139.133864,1,10.582753,10.551324,-422.188002,-0.741275,0.019546,-283.037007,-0.257795,0.002815
34.965,135.342508,-0.016662,0.016871,-2.255277,135.342508,1,11.374814,11.394198,-418.397685,-0.66718,0.019686,-283.037007,-0.257795,0.002815
35.298,139.148623,-0.02062,0.00285,-2.869706,139.148623,1,10.112792,10.601063,-414.949497,-0.599289,0.023221,-275.771756,-0.237344,0.020371
35.631,135.103488,-0.018164,0.000225,-2.454291,135.103488,1,12.384514,11.959755,-410.897269,-0.505175,0.020146,-275.771756,-0.237344,0.020371
35.964,138.805098,-0.01231,0.012035,-1.708742,138.805098,1,10.535078,9.794667,-407.513053,-0.436987,0.014786,-268.697863,-0.093222,0.026821
36.297,134.906856,-0.016648,0.008052,-2.246077,134.906856,1,11.407688,11.957876,-403.623112,-0.379466,0.018769,-268.697863,-0.093222,0.026821
36.63,138.681449,-0.020626,0.006067,-2.860897,138.681449,1,9.921049,10.591197,-400.208424,-0.315368,0.02362,-261.498091,0.099932,0.029687
36.963,134.817604,-0.018834,0.008451,-2.539474,134.817604,1,11.787143,11.457797,-396.339222,-0.223959,0.021236,-261.498091,0.099932,0.029687
37.296,138.516666,-0.017591,0.016468,-2.43694,138.516666,1,10.452828,10.411019,-392.866174,-0.150194,0.020933,-254.328847,0.312826,0.004465
37.629,134.726167,-0.010751,0.009131,-1.448462,134.726167,1,11.932464,10.918904,-389.062255,-0.070553,0.013596,-254.328847,0.312826,0.004465
37.962,138.38795,-0.011666,0.021919,-1.614454,138.38795,1,10.644192,10.74404,-385.501444,-0.022136,0.014319,-247.104564,0.345085,-0.0076
38.295,134.55578,-0.009383,0.019304,-1.262531,134.55578,1,11.699966,11.338668,-381.665904,0.032788,0.011704,-247.104564,0.345085,-0.0076
38.628,138.328852,-0.007888,0.047756,-1.091134,138.328852,1,10.625188,10.314246,-378.179727,0.073591,0.009453,-239.857055,0.290002,-0.038303
38.961,134.429985,-0.00321,0.04285,-0.431586,134.429985,1,12.033303,11.35559,-374.285651,0.110401,0.004547,-239.857055,0.290002,-0.038303
39.294,138.149438,-0.003442,0.044567,-0.475477,138.149438,1,10.123032,9.864796,-370.957712,0.125532,0.002677,-232.808769,0.019896,-0.04189
39.627,134.429802,-0.004113,0.045144,-0.552974,134.429802,1,11.130951,11.210585,-367.23786,0.13549,0.003254,-232.808769,0.019896,-0.04189
39.96,138.06047,-0.005078,0.02059,-0.701146,138.06047,1,10.261384,10.092384,-363.848975,0.146516,0.00203,-225.78879,-0.274342,-0.01856
40.293,134.209727,-0.00533,0.020696,-0.7153,134.209727,1,11.556597,11.571166,-359.998211,0.154334,0.002136,-225.78879,-0.274342,-0.01856
40.626,137.959532,-0.007611,0.006203,-1.050066,137.959532,1,10.43225,10.617112,-356.4935,0.161819,0.003474,-218.5348,-0.408993,-0.002729
40.959,134.115944,-0.003638,0.002011,-0.487907,134.115944,1,11.82949,11.250474,-352.650709,0.175168,-0.000718,-218.5348,-0.408993,-0.002729
41.292,138.053493,0.00058,0.020566,0.080137,138.053493,1,10.512609,9.929442,-349.247108,0.172726,-0.004939,-211.195299,-0.429025,0.015627
41.625,134.225134,-0.005182,0.014787,-0.69554,134.225134,1,11.092658,11.890941,-345.420386,0.153824,0.00084,-211.195299,-0.429025,0.015627
41.958,138.15718,-0.009981,0.023196,-1.378995,138.15718,1,9.712332,10.503566,-342.05444,0.15665,0.006567,-203.900239,-0.315017,0.029763
42.291,134.336784,-0.005682,0.027778,-0.76337,134.336784,1,11.781272,11.148238,-338.236759,0.181723,0.001985,-203.900239,-0.315017,0.029763
42.624,138.083482,-0.004013,0.027762,-0.554135,138.083482,1,10.15123,10.13998,-334.858279,0.188428,0.001903,-196.775047,-0.102886,0.029665
42.957,134.241934,0.002499,0.034389,0.335462,134.241934,1,11.997659,11.082237,-331.015483,0.195742,-0.004724,-196.775047,-0.102886,0.029665
43.29,137.919132,0.001489,0.022861,0.205331,137.919132,1,9.869508,10.241937,-327.666965,0.179925,-0.002027,-189.748116,0.105632,0.020834
43.623,134.157358,0.000365,0.021696,0.048973,134.157358,1,11.215442,11.376439,-323.905424,0.172299,-0.000862,-189.748116,0.105632,0.020834
